department,block credential,inactive days teams,inactive days onedrive,inactive days sharepoint,active last week onedrive/sharepoint,active last week or,active last week all,active last week teams,active last week onedrive,active last week sharepoint
BJ.KANTOR PERWAKILAN BI BEIJING,0.0,0.0,3.0,21.0,1.0,1.0,0.0,1.0,1.0,0.0
LND.KANTOR PERWAKILAN BI LONDON,0.0,1.5714285714285714,13.428571428571429,22.857142857142858,0.8571428571428571,1.0,0.5714285714285714,1.0,0.8571428571428571,0.5714285714285714
NY.KANTOR PERWAKILAN BI NEW YORK,0.0,0.14285714285714285,19.714285714285715,12.857142857142858,0.8571428571428571,1.0,0.2857142857142857,1.0,0.5714285714285714,0.5714285714285714
SN.KANTOR PERWAKILAN BI SINGAPORE,0.0,0.0,9.857142857142858,5.142857142857143,1.0,1.0,0.7142857142857143,1.0,0.8571428571428571,0.8571428571428571
TKY.KANTOR PERWAKILAN BI TOKYO,0.0,0.0,30.25,16.5,0.75,1.0,0.5,1.0,0.75,0.5
