department,block credential,inactive days teams,inactive days onedrive,inactive days sharepoint,active last week onedrive/sharepoint,active last week or,active last week all,active last week teams,active last week onedrive,active last week sharepoint
PKP.KANTOR PERWAKILAN BI PROVINSI KEPULAUAN BANGKA BELITUNG,0.0,3.0,26.205882352941178,18.764705882352942,0.6470588235294118,0.9117647058823529,0.4411764705882353,0.9117647058823529,0.5294117647058824,0.5588235294117647
PLK.KANTOR PERWAKILAN BI PROVINSI KALIMANTAN TENGAH,0.0,6.186046511627907,49.30434782608695,32.78260869565217,0.5957446808510638,0.7659574468085106,0.40425531914893614,0.7446808510638298,0.5106382978723404,0.48936170212765956
PMS.KANTOR PERWAKILAN BI PEMATANGSIANTAR,0.0,12.652173913043478,40.916666666666664,38.583333333333336,0.5833333333333334,0.75,0.3333333333333333,0.75,0.5833333333333334,0.3333333333333333
PTK.KANTOR PERWAKILAN BI PROVINSI KALIMANTAN BARAT,0.0,7.384615384615385,20.185185185185187,21.444444444444443,0.7037037037037037,0.8518518518518519,0.5555555555555556,0.8518518518518519,0.6666666666666666,0.5925925925925926
PWT.KANTOR PERWAKILAN BI PURWOKERTO,0.0,3.923076923076923,24.884615384615383,21.807692307692307,0.6538461538461539,0.9615384615384616,0.2692307692307692,0.9615384615384616,0.5,0.4230769230769231
SB.KANTOR PERWAKILAN BI PROVINSI JAWA TIMUR,0.0,17.48,83.82,57.73831775700935,0.4672897196261682,0.6915887850467289,0.2523364485981308,0.6355140186915887,0.3925233644859813,0.34579439252336447
SBG.KANTOR PERWAKILAN BI SIBOLGA,0.0,16.05263157894737,78.8,56.42857142857143,0.3333333333333333,0.6666666666666666,0.09523809523809523,0.6666666666666666,0.23809523809523808,0.19047619047619047
SLO.KANTOR PERWAKILAN BI SOLO,0.0,10.297297297297296,33.54054054054054,19.789473684210527,0.5641025641025641,0.8461538461538461,0.38461538461538464,0.7948717948717948,0.46153846153846156,0.5128205128205128
SM.KANTOR PERWAKILAN BI PROVINSI JAWA TENGAH,0.0,9.505494505494505,39.69565217391305,42.763440860215056,0.6559139784946236,0.8924731182795699,0.25806451612903225,0.8064516129032258,0.6451612903225806,0.3010752688172043
SMR.KANTOR PERWAKILAN BI PROVINSI KALIMANTAN TIMUR,0.0,6.135135135135135,36.891891891891895,25.486486486486488,0.7297297297297297,0.9459459459459459,0.2702702702702703,0.9459459459459459,0.4864864864864865,0.5135135135135135
SR.KANTOR PERWAKILAN BI PROVINSI BANTEN,0.0,6.790697674418604,46.97674418604651,43.81395348837209,0.5116279069767442,0.8837209302325582,0.18604651162790697,0.813953488372093,0.46511627906976744,0.27906976744186046
TGL.KANTOR PERWAKILAN BI TEGAL,0.0,7.147058823529412,31.205882352941178,14.294117647058824,0.7941176470588235,0.9411764705882353,0.47058823529411764,0.9117647058823529,0.5882352941176471,0.7058823529411765
TRK.KANTOR PERWAKILAN BI PROVINSI KALIMANTAN UTARA,0.0,2.4242424242424243,25.09090909090909,5.363636363636363,0.7878787878787878,1.0,0.45454545454545453,0.9393939393939394,0.5454545454545454,0.7272727272727273
TSM.KANTOR PERWAKILAN BI TASIKMALAYA,0.0,11.125,22.93548387096774,23.5,0.46875,0.8125,0.3125,0.8125,0.4375,0.34375
TT.KANTOR PERWAKILAN BI PROVINSI MALUKU UTARA,0.0,3.9285714285714284,41.58620689655172,44.689655172413794,0.5517241379310345,0.8275862068965517,0.20689655172413793,0.7931034482758621,0.4827586206896552,0.3103448275862069
YK.KANTOR PERWAKILAN BI PROVINSI DAERAH ISTIMEWA YOGYAKARTA,0.0,15.763157894736842,61.0,32.97435897435897,0.6923076923076923,0.7692307692307693,0.23076923076923078,0.7435897435897436,0.3333333333333333,0.5897435897435898
