department,viewed or edited file count,synced file count,shared internally file count,shared externally file count,inactive days
'-,33.0,0.0,7.0,0.0,6.0
AB.KANTOR PERWAKILAN BI PROVINSI MALUKU,171.27777777777777,86.38888888888889,3.2777777777777777,0.0,28.142857142857142
BD.KANTOR PERWAKILAN BI PROVINSI JAWA BARAT,204.6865671641791,204.7910447761194,3.5970149253731343,0.04477611940298507,67.23880597014926
BDL.KANTOR PERWAKILAN BI PROVINSI LAMPUNG,64.97674418604652,31.58139534883721,7.767441860465116,0.06976744186046512,48.44186046511628
BINS.INSTITUT BI,1004.5959595959596,1044.989898989899,17.91919191919192,0.7171717171717171,38.7979797979798
BJ.KANTOR PERWAKILAN BI BEIJING,35.0,0.0,2.0,0.0,4.0
BJM.KANTOR PERWAKILAN BI PROVINSI KALIMANTAN SELATAN,468.55357142857144,2379.9821428571427,5.214285714285714,0.05357142857142857,38.660714285714285
BN.KANTOR PERWAKILAN BI PROVINSI BENGKULU,61.064516129032256,25.483870967741936,1.4516129032258065,0.0,58.6551724137931
BNA.KANTOR PERWAKILAN BI PROVINSI ACEH,982.5454545454545,1590.6969696969697,1.393939393939394,0.030303030303030304,43.484848484848484
BPP.KANTOR PERWAKILAN BI BALIKPAPAN,72.57142857142857,664.2142857142857,2.107142857142857,0.03571428571428571,26.192307692307693
BTM.KANTOR PERWAKILAN BI PROVINSI KEPULAUAN RIAU,744.7254901960785,1011.6862745098039,12.0,0.1568627450980392,36.92156862745098
CN.KANTOR PERWAKILAN BI CIREBON,68.04255319148936,116.8936170212766,2.574468085106383,0.02127659574468085,56.56818181818182
DAI.DEPARTEMEN AUDIT INTERN,1472.4177215189873,924.6075949367089,67.77215189873418,1.3417721518987342,5.2405063291139244
DEKS.DEPARTEMEN EKONOMI & KEUANGAN SYARIAH,1419.5510204081634,1385.3877551020407,50.755102040816325,0.22448979591836735,8.26530612244898
DHK.DEPARTEMEN HUKUM,1912.6315789473683,1868.982456140351,50.26315789473684,0.3157894736842105,6.087719298245614
DINT.DEPARTEMEN INTERNASIONAL,456.9855072463768,1243.072463768116,35.14492753623188,0.2028985507246377,11.217391304347826
DKEM.DEPARTEMEN KEBIJAKAN EKONOMI & MONETER,778.7727272727273,639.875,248.2840909090909,6.5227272727272725,3.75
DKEU.DEPARTEMEN KEUANGAN,856.6442307692307,772.8076923076923,192.65384615384616,6.519230769230769,3.625
DKMP.DEPARTEMEN KEBIJAKAN MAKROPRUDENSIAL,890.5454545454545,929.875,46.86363636363637,2.6704545454545454,6.2727272727272725
DKOM.DEPARTEMEN KOMUNIKASI,468.8690476190476,593.1785714285714,9.654761904761905,0.047619047619047616,37.160493827160494
DKSP.DEPARTEMEN KEBIJAKAN SISTEM PEMBAYARAN,652.8019801980198,300.3762376237624,149.65346534653466,12.049504950495049,6.2772277227722775
DMR.DEPARTEMEN MANAJEMEN RISIKO,956.4230769230769,765.8269230769231,202.51923076923077,13.538461538461538,3.3461538461538463
DMST.DEPARTEMEN MANAJEMEN STRATEGIS & TATA KELOLA,876.7481481481482,280.5407407407407,60.925925925925924,1.7703703703703704,33.954887218045116
DPD.DEPARTEMEN PENGELOLAAN DEVISA,923.6,1067.875,152.725,2.3625,2.3
DPKL.DEPARTEMEN PENGELOLAAN & KEPATUHAN LAPORAN,2185.2620689655173,1069.7655172413793,192.66206896551725,1.9379310344827587,5.724137931034483
DPLF.DEPARTEMEN PENGELOLAAN LOGISTIK & FASILITAS,430.09090909090907,1108.3701298701299,63.253246753246756,0.2662337662337662,28.764705882352942
DPM.DEPARTEMEN PENGELOLAAN MONETER,672.28,1113.6266666666668,88.37333333333333,0.7333333333333333,9.96
DPPK.DEPARTEMEN PENGEMBANGAN PASAR KEUANGAN,1977.4901960784314,929.9411764705883,151.07843137254903,0.8235294117647058,0.9607843137254902
DPPT.DEPARTEMEN JASA PERBANKAN PERIZINAN&OPERASIONAL TRESURI,553.303448275862,864.2206896551725,52.8,1.303448275862069,9.096551724137932
DPR.KANTOR PERWAKILAN BI PROVINSI BALI,222.20689655172413,73.29310344827586,5.275862068965517,0.1206896551724138,65.2909090909091
DPS.DEPARTEMEN PENGADAAN STRATEGIS,1605.2022471910113,1160.0224719101125,203.56179775280899,3.247191011235955,13.876404494382022
DPSI,0.0,0.0,0.0,0.0,
DPSI.DEPARTEMEN PENGELOLAAN SISTEM INFORMASI,1610.6812749003984,2379.7848605577688,194.19521912350598,17.163346613545816,2.4701195219123506
DPSP.DEPARTEMEN PENYELENGGARAAN SISTEM PEMBAYARAN,918.0787401574803,666.2913385826772,82.35433070866142,3.9921259842519685,8.070866141732283
DPU.DEPARTEMEN PENGELOLAAN UANG,653.9354838709677,1457.5806451612902,67.34677419354838,0.3064516129032258,40.79324894514768
DR.DEPARTEMEN REGIONAL,904.5,2540.4,69.725,0.3,8.85
DSDM.DEPARTEMEN SUMBER DAYA MANUSIA,628.6,1270.0181818181818,70.96363636363637,0.39636363636363636,78.56457564575646
DSSK.DEPARTEMEN SURVEILANS SISTEM KEUANGAN,1556.3203883495146,841.1165048543689,94.41747572815534,1.3398058252427185,7.262135922330097
DSTA.DEPARTEMEN STATISTIK,1817.6377952755906,2330.299212598425,113.11023622047244,1.7559055118110236,2.1338582677165356
DUPK.DEPARTEMEN PENGEMBANGAN UMKM & PERLINDUNGAN KONSUMEN,499.84,486.28,69.28,0.88,4.9
GTO.KANTOR PERWAKILAN BI PROVINSI GORONTALO,740.65625,100.875,2.46875,0.09375,53.71875
