Report Refresh Date,Product Type,Assigned,Activated,Shared Computer Activation
2022-04-05,MICROSOFT 365 APPS FOR ENTERPRISE,5320,3568,1
2022-04-05,OFFICE MOBILE APPS FOR OFFICE 365,196,111,0
