Report Refresh Date,Report Period,Report Date,Outlook,Word,Excel,PowerPoint,OneNote,Teams
2022-04-04,180,2021-12-21,184,1146,1127,583,32,3336
2022-04-04,180,2021-12-20,174,871,1051,503,29,3558
2022-04-04,180,2021-12-19,104,402,533,195,17,2285
2022-04-04,180,2021-12-18,72,302,328,151,15,1662
2022-04-04,180,2021-12-17,163,841,845,472,23,3647
2022-04-04,180,2021-12-16,179,1239,1099,680,29,4273
2022-04-04,180,2021-12-15,186,1150,1094,604,32,4282
2022-04-04,180,2021-12-14,196,1522,1235,758,38,4397
2022-04-04,180,2021-12-13,213,1548,1427,794,45,4275
2022-04-04,180,2021-12-12,93,560,604,305,16,2549
2022-04-04,180,2021-12-11,77,515,655,346,21,2254
2022-04-04,180,2021-12-10,200,1327,1365,728,34,4163
2022-04-04,180,2021-12-09,188,1448,1502,812,35,4294
2022-04-04,180,2021-12-08,189,1215,1310,650,34,4370
2022-04-04,180,2021-12-07,180,1159,1357,671,23,4340
2022-04-04,180,2021-12-06,213,1470,1521,845,36,3565
2022-04-04,180,2021-12-05,96,539,650,363,14,1371
2022-04-04,180,2021-12-04,72,406,458,269,13,1284
2022-04-04,180,2021-12-03,200,1385,1391,757,27,3322
2022-04-04,180,2021-12-02,207,1676,1708,894,37,3399
2022-04-04,180,2021-12-01,198,1757,1636,931,36,4296
2022-04-04,180,2021-11-30,194,1271,1466,709,36,4300
2022-04-04,180,2021-11-29,197,1453,1380,887,33,4305
2022-04-04,180,2021-11-28,129,755,805,515,21,2683
2022-04-04,180,2021-11-27,101,581,548,434,16,2300
2022-04-04,180,2021-11-26,193,1644,1637,941,37,4244
2022-04-04,180,2021-11-25,185,1387,1401,836,37,4289
2022-04-04,180,2021-11-24,170,781,1227,623,34,4241
2022-04-04,180,2021-11-23,170,875,1363,653,35,4336
2022-04-04,180,2021-11-22,183,1006,1337,703,26,4390
2022-04-04,180,2021-11-21,122,502,706,413,16,2712
2022-04-04,180,2021-11-20,96,487,597,396,17,2313
2022-04-04,180,2021-11-19,202,1154,1394,855,33,4246
2022-04-04,180,2021-11-18,183,1163,1354,796,27,4329
2022-04-04,180,2021-11-17,189,1587,1583,956,29,4370
2022-04-04,180,2021-11-16,189,1247,1612,839,36,4383
2022-04-04,180,2021-11-15,196,1448,1734,910,31,4392
2022-04-04,180,2021-11-14,122,610,693,406,13,2635
2022-04-04,180,2021-11-13,90,585,564,398,18,2306
2022-04-04,180,2021-11-12,187,1282,1469,925,28,4198
2022-04-04,180,2021-11-11,168,1070,1319,761,36,4229
2022-04-04,180,2021-11-10,194,1366,1371,1137,30,4292
2022-04-04,180,2021-11-09,200,1466,1378,1133,38,4326
2022-04-04,180,2021-11-08,192,1418,1436,1025,33,4350
2022-04-04,180,2021-11-07,107,691,737,494,13,2470
2022-04-04,180,2021-11-06,97,597,627,424,14,2252
2022-04-04,180,2021-11-05,184,1132,1410,797,32,4266
2022-04-04,180,2021-11-04,177,1101,1227,750,35,4421
2022-04-04,180,2021-11-03,204,1433,1505,882,31,4296
2022-04-04,180,2021-11-02,176,1342,1304,787,28,4283
2022-04-04,180,2021-11-01,181,1310,1390,815,25,4293
2022-04-04,180,2021-10-31,98,444,649,284,11,2646
2022-04-04,180,2021-10-30,77,403,516,280,11,2456
2022-04-04,180,2021-10-29,172,860,1155,529,31,4168
2022-04-04,180,2021-10-28,176,988,1183,578,27,4251
2022-04-04,180,2021-10-27,179,1116,1283,758,36,4242
2022-04-04,180,2021-10-26,182,1015,1265,688,32,4261
2022-04-04,180,2021-10-25,180,994,1156,582,34,4236
2022-04-04,180,2021-10-24,105,469,543,313,18,2707
2022-04-04,180,2021-10-23,82,421,417,284,13,2304
2022-04-04,180,2021-10-22,170,1176,1142,682,25,4147
2022-04-04,180,2021-10-21,198,1375,1273,865,24,4235
2022-04-04,180,2021-10-20,111,610,528,427,13,2556
2022-04-04,180,2021-10-19,177,1304,1269,759,26,4183
2022-04-04,180,2021-10-18,178,932,1119,703,31,4171
2022-04-04,180,2021-10-17,87,409,490,359,14,2411
2022-04-04,180,2021-10-16,87,406,386,308,7,2225
2022-04-04,180,2021-10-15,178,900,1142,660,37,4037
2022-04-04,180,2021-10-14,193,1345,1202,847,32,4075
2022-04-04,180,2021-10-13,191,1690,1468,1014,40,4133
2022-04-04,180,2021-10-12,202,1561,1374,962,34,4186
2022-04-04,180,2021-10-11,179,1261,1334,930,32,4222
2022-04-04,180,2021-10-10,105,544,604,401,8,2543
2022-04-04,180,2021-10-09,84,349,393,298,13,2260
2022-04-04,180,2021-10-08,188,1342,1315,882,27,4163
2022-04-04,180,2021-10-07,181,1304,1372,975,39,4143
