Report Refresh Date,Report Date,Team Chat Messages,Private Chat Messages,Calls,Meetings,Other Actions,Report Period
2022-04-04,2021-12-15,55,2014,580,1736,1748,180
2022-04-04,2021-12-14,78,2292,731,2161,1405,180
2022-04-04,2021-12-13,72,2220,675,2056,1475,180
2022-04-04,2021-12-12,16,413,54,222,2039,180
2022-04-04,2021-12-11,7,358,59,224,1813,180
2022-04-04,2021-12-10,74,2018,558,1681,1676,180
2022-04-04,2021-12-09,84,2162,640,1824,1622,180
2022-04-04,2021-12-08,78,2153,591,1900,1651,180
2022-04-04,2021-12-07,63,2161,545,2067,1510,180
2022-04-04,2021-12-06,73,2158,614,2130,1475,180
2022-04-04,2021-12-05,11,429,43,217,1941,180
2022-04-04,2021-12-04,2,348,45,155,1879,180
2022-04-04,2021-12-03,72,1924,522,1617,1708,180
2022-04-04,2021-12-02,64,2015,552,1722,1704,180
2022-04-04,2021-12-01,70,2152,569,1969,1506,180
2022-04-04,2021-11-30,72,2168,601,1646,1700,180
2022-04-04,2021-11-29,75,2194,598,1998,1551,180
2022-04-04,2021-11-28,8,495,54,294,2012,180
2022-04-04,2021-11-27,2,406,42,190,1796,180
2022-04-04,2021-11-26,55,2073,548,1937,1495,180
2022-04-04,2021-11-25,79,2143,549,1770,1614,180
2022-04-04,2021-11-24,77,2103,511,1834,1562,180
2022-04-04,2021-11-23,73,2143,550,1993,1585,180
2022-04-04,2021-11-22,66,2192,566,2159,1508,180
2022-04-04,2021-11-21,10,566,66,248,2011,180
2022-04-04,2021-11-20,0,421,47,271,1759,180
2022-04-04,2021-11-19,68,2116,605,1803,1569,180
2022-04-04,2021-11-18,68,2179,694,1817,1642,180
2022-04-04,2021-11-17,69,2298,710,1978,1536,180
2022-04-04,2021-11-16,69,2280,824,2130,1438,180
2022-04-04,2021-11-15,76,2289,713,2344,1359,180
2022-04-04,2021-11-14,7,441,50,228,2061,180
2022-04-04,2021-11-13,4,382,39,223,1803,180
2022-04-04,2021-11-12,87,2116,605,1924,1522,180
2022-04-04,2021-11-11,83,2171,671,1785,1581,180
2022-04-04,2021-11-10,80,2219,734,1982,1494,180
2022-04-04,2021-11-09,62,2232,695,2009,1545,180
2022-04-04,2021-11-08,83,2211,688,2277,1473,180
2022-04-04,2021-11-07,9,423,59,290,1899,180
2022-04-04,2021-11-06,3,361,48,237,1782,180
2022-04-04,2021-11-05,87,2094,566,2151,1487,180
2022-04-04,2021-11-04,61,2143,606,2202,1481,180
2022-04-04,2021-11-03,78,2204,695,1907,1587,180
2022-04-04,2021-11-02,69,2220,683,1926,1472,180
2022-04-04,2021-11-01,78,2209,625,2133,1434,180
2022-04-04,2021-10-31,8,429,49,174,2115,180
2022-04-04,2021-10-30,1,382,36,178,1991,180
2022-04-04,2021-10-29,66,2095,585,1955,1518,180
2022-04-04,2021-10-28,87,2222,684,1868,1544,180
2022-04-04,2021-10-27,54,2232,659,2034,1461,180
2022-04-04,2021-10-26,73,2193,593,2079,1487,180
2022-04-04,2021-10-25,75,2219,610,1989,1445,180
2022-04-04,2021-10-24,6,520,91,292,2022,180
2022-04-04,2021-10-23,8,372,80,255,1785,180
2022-04-04,2021-10-22,88,2126,620,2057,1376,180
2022-04-04,2021-10-21,73,2186,635,2157,1418,180
2022-04-04,2021-10-20,10,519,61,322,1863,180
2022-04-04,2021-10-19,79,2118,537,1955,1490,180
2022-04-04,2021-10-18,75,2191,623,2178,1347,180
2022-04-04,2021-10-17,16,429,64,285,1768,180
2022-04-04,2021-10-16,9,304,56,205,1811,180
2022-04-04,2021-10-15,78,2113,547,1979,1340,180
2022-04-04,2021-10-14,77,2174,671,2012,1374,180
2022-04-04,2021-10-13,86,2220,630,2224,1246,180
2022-04-04,2021-10-12,68,2236,712,2250,1281,180
2022-04-04,2021-10-11,69,2253,666,2404,1238,180
2022-04-04,2021-10-10,13,495,84,382,1854,180
2022-04-04,2021-10-09,7,415,67,291,1743,180
2022-04-04,2021-10-08,76,2129,675,2164,1407,180
2022-04-04,2021-10-07,80,2181,614,2058,1429,180
