Report Refresh Date,Site Type,Page View Count,Report Date,Report Period
2022-04-05,All,6453,2021-11-04,180
2022-04-05,All,4809,2021-11-03,180
2022-04-05,All,4510,2021-11-02,180
2022-04-05,All,6409,2021-11-01,180
2022-04-05,All,3245,2021-10-31,180
2022-04-05,All,2530,2021-10-30,180
2022-04-05,All,6375,2021-10-29,180
2022-04-05,All,9150,2021-10-28,180
2022-04-05,All,9087,2021-10-27,180
2022-04-05,All,13512,2021-10-26,180
2022-04-05,All,10668,2021-10-25,180
2022-04-05,All,1996,2021-10-24,180
2022-04-05,All,1706,2021-10-23,180
2022-04-05,All,4810,2021-10-22,180
2022-04-05,All,4802,2021-10-21,180
2022-04-05,All,1346,2021-10-20,180
2022-04-05,All,4074,2021-10-19,180
2022-04-05,All,4569,2021-10-18,180
2022-04-05,All,1617,2021-10-17,180
2022-04-05,All,2688,2021-10-16,180
2022-04-05,All,4409,2021-10-15,180
2022-04-05,All,5409,2021-10-14,180
2022-04-05,All,4333,2021-10-13,180
2022-04-05,All,4176,2021-10-12,180
2022-04-05,All,4205,2021-10-11,180
2022-04-05,All,1630,2021-10-10,180
2022-04-05,All,626,2021-10-09,180
2022-04-05,All,2397,2021-10-08,180
