Report Refresh Date,Mailbox Storage Used (Byte),Site Storage Used (Byte),Report Date,Report Period
2022-04-05,839840130,7146641660645,2022-04-05,180
2022-04-05,837796419,7109274294897,2022-04-04,180
2022-04-05,827445820,7073240689813,2022-04-03,180
2022-04-05,802130802,7073240689813,2022-04-02,180
2022-04-05,797401402,7048294294403,2022-04-01,180
2022-04-05,758952765,7048294294403,2022-03-31,180
2022-04-05,824255915,6918100510514,2022-03-30,180
2022-04-05,828196843,6918100510514,2022-03-29,180
2022-04-05,826960332,6918100510514,2022-03-28,180
2022-04-05,826301332,6888371497885,2022-03-27,180
2022-04-05,825612615,6928729097866,2022-03-26,180
2022-04-05,820294342,6930432426561,2022-03-25,180
2022-04-05,685753373,6892162462733,2022-03-24,180
2022-04-05,737683496,6892162462733,2022-03-23,180
2022-04-05,809259861,6877153902653,2022-03-22,180
2022-04-05,817976530,6850438084606,2022-03-21,180
2022-04-05,820962688,6770328613017,2022-03-20,180
2022-04-05,808699574,6762123433491,2022-03-19,180
2022-04-05,807813612,6756606807778,2022-03-18,180
2022-04-05,807904394,6690049703013,2022-03-17,180
2022-04-05,814352331,6685378796213,2022-03-16,180
2022-04-05,816855058,6671706163599,2022-03-15,180
2022-04-05,817662996,6574635203852,2022-03-14,180
2022-04-05,812351475,6551198301238,2022-03-13,180
2022-04-05,813997142,6551198301238,2022-03-12,180
2022-04-05,784571191,6550527873567,2022-03-11,180
2022-04-05,786283636,6513160280237,2022-03-10,180
2022-04-05,813587426,6513160280237,2022-03-09,180
2022-04-05,807672557,6475521958346,2022-03-08,180
2022-04-05,809821782,6382697169003,2022-03-07,180
2022-04-05,641964966,6382697169003,2022-03-06,180
2022-04-05,613916617,6378254111805,2022-03-05,180
2022-04-05,614745092,6376820204610,2022-03-04,180
2022-04-05,679413867,6320707059356,2022-03-03,180
2022-04-05,741919187,6320707059356,2022-03-02,180
2022-04-05,749336584,6292894631695,2022-03-01,180
2022-04-05,741799894,6268180208257,2022-02-28,180
2022-04-05,792785067,6251096956797,2022-02-27,180
2022-04-05,750960909,6255211636267,2022-02-26,180
2022-04-05,714168398,6251415569028,2022-02-25,180
2022-04-05,732833987,6192390743109,2022-02-24,180
2022-04-05,741732967,6157806159997,2022-02-23,180
2022-04-05,714050530,6087078924217,2022-02-22,180
2022-04-05,709655798,6087078924217,2022-02-21,180
2022-04-05,617248243,6087078924217,2022-02-20,180
2022-04-05,644472179,6067525490306,2022-02-19,180
2022-04-05,631243438,6067525490306,2022-02-18,180
2022-04-05,628192146,6051378542163,2022-02-17,180
2022-04-05,643242997,6020154661767,2022-02-16,180
2022-04-05,648567263,6002313637400,2022-02-15,180
2022-04-05,652958576,5904800059142,2022-02-14,180
2022-04-05,705876631,5904800059142,2022-02-13,180
2022-04-05,683071895,5933039020304,2022-02-12,180
2022-04-05,662351164,5965089391437,2022-02-11,180
2022-04-05,767405823,5897267898721,2022-02-10,180
2022-04-05,747312706,5921934190844,2022-02-09,180
2022-04-05,271948150,5921934190844,2022-02-08,180
2022-04-05,680507523,5863914585547,2022-02-07,180
2022-04-05,761903959,5800654124746,2022-02-06,180
2022-04-05,762466958,5800654124746,2022-02-05,180
2022-04-05,761582038,5757490624752,2022-02-04,180
2022-04-05,761767441,5742558407649,2022-02-03,180
2022-04-05,756201085,5648861262261,2022-02-02,180
2022-04-05,756423892,5605141636459,2022-02-01,180
2022-04-05,756692982,5600801045285,2022-01-31,180
2022-04-05,755116182,5573871111449,2022-01-30,180
2022-04-05,755420937,5631592691501,2022-01-29,180
2022-04-05,743654369,5652550176138,2022-01-28,180
2022-04-05,754842210,5652550176138,2022-01-27,180
2022-04-05,754124142,5617815139346,2022-01-26,180
2022-04-05,750877446,5607147920032,2022-01-25,180
2022-04-05,751750687,5600711507063,2022-01-24,180
2022-04-05,750153533,5600711507063,2022-01-23,180
2022-04-05,749439821,5595445376891,2022-01-22,180
