Report Refresh Date,Site Type,Total,Active,Report Date,Report Period
2022-09-10,All,11556738,40144,2022-05-23,180
2022-09-10,All,11545572,9038,2022-05-22,180
2022-09-10,All,11542601,7839,2022-05-21,180
2022-09-10,All,11539394,54087,2022-05-20,180
2022-09-10,All,11494227,27359,2022-05-19,180
2022-09-10,All,11486098,33025,2022-05-18,180
2022-09-10,All,11460455,39670,2022-05-17,180
2022-09-10,All,11443168,17983,2022-05-16,180
2022-09-10,All,11431873,12562,2022-05-15,180
2022-09-10,All,11431514,7132,2022-05-14,180
2022-09-10,All,11367066,77407,2022-05-13,180
2022-09-10,All,11367066,127843,2022-05-12,180
2022-09-10,All,11248360,68324,2022-05-11,180
2022-09-10,All,11203283,92343,2022-05-10,180
2022-09-10,All,11136793,60385,2022-05-09,180
2022-09-10,All,11090442,11242,2022-05-08,180
2022-09-10,All,11086216,1389,2022-05-07,180
2022-09-10,All,11086083,2091,2022-05-06,180
2022-09-10,All,11084834,555,2022-05-05,180
2022-09-10,All,11084675,1985,2022-05-04,180
2022-09-10,All,11084675,665,2022-05-03,180
2022-09-10,All,11091125,517,2022-05-02,180
2022-09-10,All,11089558,2973,2022-05-01,180
2022-09-10,All,11089558,7845,2022-04-30,180
2022-09-10,All,11083770,1934,2022-04-29,180
2022-09-10,All,11082306,30334,2022-04-28,180
2022-09-10,All,11054148,51215,2022-04-27,180
2022-09-10,All,11017649,31970,2022-04-26,180
2022-09-10,All,11017649,27818,2022-04-25,180
2022-09-10,All,11017649,5873,2022-04-24,180
2022-09-10,All,11017649,6878,2022-04-23,180
2022-09-10,All,11057880,47226,2022-04-22,180
2022-09-10,All,11057880,109217,2022-04-21,180
2022-09-10,All,10956572,58598,2022-04-20,180
2022-09-10,All,10929655,118457,2022-04-19,180
2022-09-10,All,10827844,60385,2022-04-18,180
2022-09-10,All,10786649,14976,2022-04-17,180
2022-09-10,All,10786649,5297,2022-04-16,180
2022-09-10,All,10784416,9809,2022-04-15,180
2022-09-10,All,10751285,66810,2022-04-14,180
2022-09-10,All,10751285,40015,2022-04-13,180
2022-09-10,All,10724237,63418,2022-04-12,180
2022-09-10,All,10679300,48808,2022-04-11,180
2022-09-10,All,10647344,9208,2022-04-10,180
2022-09-10,All,10647344,3474,2022-04-09,180
2022-09-10,All,10647344,33325,2022-04-08,180
2022-09-10,All,10605357,33110,2022-04-07,180
2022-09-10,All,10639336,42940,2022-04-06,180
2022-09-10,All,10614931,65809,2022-04-05,180
2022-09-10,All,10574345,48843,2022-04-04,180
2022-09-10,All,10570758,20343,2022-04-03,180
2022-09-10,All,10570758,23158,2022-04-02,180
2022-09-10,All,10499087,80937,2022-04-01,180
2022-09-10,All,10532797,32399,2022-03-31,180
2022-09-10,All,10465523,46225,2022-03-30,180
2022-09-10,All,10465523,33668,2022-03-29,180
2022-09-10,All,10465523,57807,2022-03-28,180
2022-09-10,All,10447780,30334,2022-03-27,180
2022-09-10,All,10446123,46385,2022-03-26,180
2022-09-10,All,10622747,29046,2022-03-25,180
2022-09-10,All,10582212,56629,2022-03-24,180
2022-09-10,All,10582212,37405,2022-03-23,180
2022-09-10,All,10556666,53399,2022-03-22,180
2022-09-10,All,10532818,79899,2022-03-21,180
2022-09-10,All,10511008,11753,2022-03-20,180
2022-09-10,All,10502109,15212,2022-03-19,180
2022-09-10,All,10497509,32729,2022-03-18,180
2022-09-10,All,10489740,63837,2022-03-17,180
2022-09-10,All,10447109,51221,2022-03-16,180
2022-09-10,All,10417933,54680,2022-03-15,180
