Report Refresh Date,Report Period,Report Date,PublicTeams,PrivateTeams,ActivePublicTeams,ActivePrivateTeams
2022-09-10,180,2022-05-19,7,411,3,147
2022-09-10,180,2022-05-18,7,411,4,145
2022-09-10,180,2022-05-17,7,411,4,152
2022-09-10,180,2022-05-16,7,411,3,91
2022-09-10,180,2022-05-15,7,411,3,45
2022-09-10,180,2022-05-14,7,411,2,49
2022-09-10,180,2022-05-13,7,410,4,161
2022-09-10,180,2022-05-12,7,410,5,161
2022-09-10,180,2022-05-11,7,410,4,140
2022-09-10,180,2022-05-10,7,410,3,138
2022-09-10,180,2022-05-09,7,410,4,135
2022-09-10,180,2022-05-08,7,410,3,54
2022-09-10,180,2022-05-07,7,410,3,24
2022-09-10,180,2022-05-06,7,410,3,33
2022-09-10,180,2022-05-05,7,410,2,18
2022-09-10,180,2022-05-04,7,410,2,21
2022-09-10,180,2022-05-03,7,410,1,14
2022-09-10,180,2022-05-02,7,410,1,12
2022-09-10,180,2022-05-01,7,410,1,19
2022-09-10,180,2022-04-30,7,410,3,28
2022-09-10,180,2022-04-29,7,410,1,33
2022-09-10,180,2022-04-28,7,410,3,128
2022-09-10,180,2022-04-27,7,410,3,145
2022-09-10,180,2022-04-26,7,410,5,139
2022-09-10,180,2022-04-25,7,410,3,150
2022-09-10,180,2022-04-24,7,410,3,67
2022-09-10,180,2022-04-23,7,410,2,51
2022-09-10,180,2022-04-22,7,410,3,130
2022-09-10,180,2022-04-21,7,410,5,134
2022-09-10,180,2022-04-20,7,410,5,144
2022-09-10,180,2022-04-19,7,410,3,145
2022-09-10,180,2022-04-18,7,409,4,154
2022-09-10,180,2022-04-17,7,409,3,79
2022-09-10,180,2022-04-16,7,409,3,67
2022-09-10,180,2022-04-15,7,409,3,61
2022-09-10,180,2022-04-14,7,409,4,152
2022-09-10,180,2022-04-13,7,409,4,145
2022-09-10,180,2022-04-12,7,409,4,164
2022-09-10,180,2022-04-11,7,409,4,166
2022-09-10,180,2022-04-10,7,409,3,81
2022-09-10,180,2022-04-09,7,409,3,50
2022-09-10,180,2022-04-08,7,409,3,149
2022-09-10,180,2022-04-07,7,409,3,143
2022-09-10,180,2022-04-06,7,409,3,185
2022-09-10,180,2022-04-05,7,409,4,141
2022-09-10,180,2022-04-04,7,409,4,140
2022-09-10,180,2022-04-03,7,409,3,65
2022-09-10,180,2022-04-02,7,409,3,49
2022-09-10,180,2022-04-01,7,409,5,140
2022-09-10,180,2022-03-31,7,409,4,144
2022-09-10,180,2022-03-30,7,409,5,146
2022-09-10,180,2022-03-29,7,409,3,140
2022-09-10,180,2022-03-28,7,409,3,140
2022-09-10,180,2022-03-27,7,410,3,51
2022-09-10,180,2022-03-26,7,410,3,36
2022-09-10,180,2022-03-25,7,410,4,128
2022-09-10,180,2022-03-24,7,410,5,137
2022-09-10,180,2022-03-23,7,410,5,159
2022-09-10,180,2022-03-22,7,410,4,147
2022-09-10,180,2022-03-21,7,410,4,141
2022-09-10,180,2022-03-20,7,410,4,53
2022-09-10,180,2022-03-19,7,410,3,33
2022-09-10,180,2022-03-18,7,410,4,134
2022-09-10,180,2022-03-17,7,410,4,152
2022-09-10,180,2022-03-16,7,410,5,141
2022-09-10,180,2022-03-15,7,410,4,146
