Report Refresh Date,Site Type,Storage Used (Byte),Report Date,Report Period
2022-09-10,OneDrive,123772444076356,2022-07-19,180
2022-09-10,All,123772444076356,2022-07-19,180
2022-09-10,OneDrive,123772444076356,2022-07-18,180
2022-09-10,All,123772444076356,2022-07-18,180
2022-09-10,OneDrive,123243901412676,2022-07-17,180
2022-09-10,All,123243901412676,2022-07-17,180
2022-09-10,OneDrive,123243901412676,2022-07-16,180
2022-09-10,All,123243901412676,2022-07-16,180
2022-09-10,OneDrive,123245780152275,2022-07-15,180
2022-09-10,All,123245780152275,2022-07-15,180
2022-09-10,OneDrive,122857171551180,2022-07-14,180
2022-09-10,All,122857171551180,2022-07-14,180
2022-09-10,OneDrive,122857171551180,2022-07-13,180
2022-09-10,All,122857171551180,2022-07-13,180
2022-09-10,OneDrive,123268271179411,2022-07-12,180
2022-09-10,All,123268271179411,2022-07-12,180
2022-09-10,OneDrive,123043752920613,2022-07-11,180
2022-09-10,All,123043752920613,2022-07-11,180
2022-09-10,OneDrive,122715180075114,2022-07-10,180
2022-09-10,All,122715180075114,2022-07-10,180
2022-09-10,OneDrive,122760061249374,2022-07-09,180
2022-09-10,All,122760061249374,2022-07-09,180
2022-09-10,OneDrive,122638477633425,2022-07-08,180
2022-09-10,All,122638477633425,2022-07-08,180
2022-09-10,OneDrive,122472032984056,2022-07-07,180
2022-09-10,All,122472032984056,2022-07-07,180
2022-09-10,OneDrive,121819548737547,2022-07-06,180
2022-09-10,All,121819548737547,2022-07-06,180
2022-09-10,OneDrive,121819548737547,2022-07-05,180
2022-09-10,All,121819548737547,2022-07-05,180
2022-09-10,OneDrive,121519822920874,2022-07-04,180
2022-09-10,All,121519822920874,2022-07-04,180
2022-09-10,OneDrive,121039418715985,2022-07-03,180
2022-09-10,All,121039418715985,2022-07-03,180
2022-09-10,OneDrive,121058750537230,2022-07-02,180
2022-09-10,All,121058750537230,2022-07-02,180
2022-09-10,OneDrive,120992914951371,2022-07-01,180
2022-09-10,All,120992914951371,2022-07-01,180
2022-09-10,OneDrive,120786981600796,2022-06-30,180
2022-09-10,All,120786981600796,2022-06-30,180
2022-09-10,OneDrive,121497275425438,2022-06-29,180
2022-09-10,All,121497275425438,2022-06-29,180
2022-09-10,OneDrive,121179278714925,2022-06-28,180
2022-09-10,All,121179278714925,2022-06-28,180
2022-09-10,OneDrive,120856756401091,2022-06-27,180
2022-09-10,All,120856756401091,2022-06-27,180
2022-09-10,OneDrive,120538496799382,2022-06-26,180
2022-09-10,All,120538496799382,2022-06-26,180
2022-09-10,OneDrive,120487854803704,2022-06-25,180
2022-09-10,All,120487854803704,2022-06-25,180
2022-09-10,OneDrive,120460476232538,2022-06-24,180
2022-09-10,All,120460476232538,2022-06-24,180
2022-09-10,OneDrive,120151603172303,2022-06-23,180
2022-09-10,All,120151603172303,2022-06-23,180
2022-09-10,OneDrive,119890263516835,2022-06-22,180
2022-09-10,All,119890263516835,2022-06-22,180
2022-09-10,OneDrive,120242780746304,2022-06-21,180
2022-09-10,All,120242780746304,2022-06-21,180
2022-09-10,OneDrive,120260116825665,2022-06-20,180
2022-09-10,All,120260116825665,2022-06-20,180
2022-09-10,OneDrive,119851639495709,2022-06-19,180
2022-09-10,All,119851639495709,2022-06-19,180
2022-09-10,OneDrive,119530405024168,2022-06-18,180
2022-09-10,All,119530405024168,2022-06-18,180
2022-09-10,OneDrive,119544630637788,2022-06-17,180
2022-09-10,All,119544630637788,2022-06-17,180
2022-09-10,OneDrive,119050772345155,2022-06-16,180
2022-09-10,All,119050772345155,2022-06-16,180
2022-09-10,OneDrive,119050772345155,2022-06-15,180
2022-09-10,All,119050772345155,2022-06-15,180
2022-09-10,OneDrive,118998210818040,2022-06-14,180
2022-09-10,All,118998210818040,2022-06-14,180
2022-09-10,OneDrive,119031094396891,2022-06-13,180
