Report Refresh Date,Exchange,OneDrive,SharePoint,Skype For Business,Yammer,Teams,Report Date,Report Period
2022-09-10,6,46289,8384,,18,74047,2022-06-29,180
2022-09-10,7,64097,7215,,7,74141,2022-06-30,180
2022-09-10,,60865,5354,,5,67471,2022-07-01,180
2022-09-10,2,16622,827,,18,1711,2022-07-02,180
2022-09-10,2,3629,1246,,,4054,2022-07-03,180
2022-09-10,8,99552,8990,,9,92776,2022-07-04,180
2022-09-10,16,51346,14236,,12,85501,2022-07-05,180
2022-09-10,7,73770,19455,,16,91077,2022-07-06,180
2022-09-10,16,34834,8910,,14,88383,2022-07-07,180
2022-09-10,2,34361,11954,,2,72785,2022-07-08,180
2022-09-10,,12447,951,,,3280,2022-07-09,180
2022-09-10,,25056,937,,,2118,2022-07-10,180
2022-09-10,15,52892,6060,,11,78588,2022-07-11,180
2022-09-10,8,54953,5080,,11,73657,2022-07-12,180
2022-09-10,2,45902,9287,,5,71846,2022-07-13,180
2022-09-10,5,54421,27923,,1,70414,2022-07-14,180
2022-09-10,,42666,8707,,9,68796,2022-07-15,180
2022-09-10,2,4579,771,,,4242,2022-07-16,180
2022-09-10,2,9155,2594,,3,3421,2022-07-17,180
2022-09-10,3,63957,12212,,2,86007,2022-07-18,180
2022-09-10,6,30628,10545,,5,86510,2022-07-19,180
2022-09-10,5,41262,6630,,20,83180,2022-07-20,180
2022-09-10,2,64995,6400,,1,48619,2022-07-21,180
2022-09-10,14,57693,5657,,1,63020,2022-07-22,180
2022-09-10,4,3402,920,,,3524,2022-07-23,180
2022-09-10,4,49991,1609,,,2604,2022-07-24,180
2022-09-10,2,48774,6730,,3,88456,2022-07-25,180
2022-09-10,1,85636,7744,,3,86007,2022-07-26,180
2022-09-10,,117252,9562,,15,83824,2022-07-27,180
2022-09-10,7,43359,6076,,1,77712,2022-07-28,180
2022-09-10,4,32471,10740,,9,70407,2022-07-29,180
2022-09-10,4,4053,943,,,1278,2022-07-30,180
2022-09-10,3,4248,9594,,,2702,2022-07-31,180
2022-09-10,5,66642,9290,,11,85339,2022-08-01,180
2022-09-10,4,37898,17229,,,82931,2022-08-02,180
2022-09-10,5,34932,11958,,2,85401,2022-08-03,180
2022-09-10,7,41231,12709,,6,82970,2022-08-04,180
2022-09-10,11,40876,7222,,18,81024,2022-08-05,180
2022-09-10,1,9237,1254,,,2439,2022-08-06,180
2022-09-10,3,20974,1554,,,4473,2022-08-07,180
