Report Refresh Date,Viewed Or Edited,Synced,Shared Internally,Shared Externally,Report Date,Report Period
2022-09-10,5381,7310,155,3,2022-05-15,180
2022-09-10,2622,4626,242,4,2022-05-14,180
2022-09-10,28517,49619,2967,97,2022-05-13,180
2022-09-10,49986,78292,2945,114,2022-05-12,180
2022-09-10,21294,47613,2811,114,2022-05-11,180
2022-09-10,38061,54344,2749,111,2022-05-10,180
2022-09-10,10179,50424,2357,100,2022-05-09,180
2022-09-10,5776,5523,158,5,2022-05-08,180
2022-09-10,762,841,50,1,2022-05-07,180
2022-09-10,1412,690,77,1,2022-05-06,180
2022-09-10,302,235,47,,2022-05-05,180
2022-09-10,295,1719,30,,2022-05-04,180
2022-09-10,244,437,11,,2022-05-03,180
2022-09-10,155,363,4,,2022-05-02,180
2022-09-10,722,1186,41,,2022-05-01,180
2022-09-10,4194,3346,93,,2022-04-30,180
2022-09-10,730,1255,80,1,2022-04-29,180
2022-09-10,18212,12577,2671,107,2022-04-28,180
2022-09-10,15422,36472,3389,115,2022-04-27,180
2022-09-10,19472,13150,3509,105,2022-04-26,180
2022-09-10,11224,17072,3425,92,2022-04-25,180
2022-09-10,2105,3838,568,11,2022-04-24,180
2022-09-10,1175,5794,255,5,2022-04-23,180
2022-09-10,11097,36266,3013,102,2022-04-22,180
2022-09-10,18310,92058,3398,168,2022-04-21,180
2022-09-10,13076,46754,3321,243,2022-04-20,180
2022-09-10,12423,102276,3381,156,2022-04-19,180
2022-09-10,16615,44419,3546,87,2022-04-18,180
2022-09-10,3600,11561,492,11,2022-04-17,180
2022-09-10,2725,2785,465,7,2022-04-16,180
2022-09-10,7298,2720,313,4,2022-04-15,180
2022-09-10,50888,17039,3527,163,2022-04-14,180
2022-09-10,22677,18746,3381,146,2022-04-13,180
2022-09-10,42229,22184,3620,145,2022-04-12,180
2022-09-10,25720,23867,3794,141,2022-04-11,180
2022-09-10,5669,3794,687,27,2022-04-10,180
2022-09-10,1670,1925,291,,2022-04-09,180
2022-09-10,13104,20849,3320,99,2022-04-08,180
2022-09-10,19533,14334,3333,92,2022-04-07,180
2022-09-10,16768,26995,3394,122,2022-04-06,180
2022-09-10,29247,38758,3548,133,2022-04-05,180
2022-09-10,21385,28318,3541,127,2022-04-04,180
2022-09-10,10927,10500,285,4,2022-04-03,180
2022-09-10,8705,14571,177,3,2022-04-02,180
2022-09-10,17552,64082,3221,144,2022-04-01,180
2022-09-10,18373,17271,3693,170,2022-03-31,180
2022-09-10,27041,21898,3540,91,2022-03-30,180
2022-09-10,18917,18700,3203,121,2022-03-29,180
2022-09-10,14027,42277,3728,229,2022-03-28,180
2022-09-10,2283,28287,295,8,2022-03-27,180
2022-09-10,3863,42712,216,6,2022-03-26,180
2022-09-10,16209,13643,3253,132,2022-03-25,180
2022-09-10,27553,29458,3539,156,2022-03-24,180
2022-09-10,22231,15444,3722,135,2022-03-23,180
2022-09-10,41703,12502,3871,179,2022-03-22,180
2022-09-10,43704,36751,3630,191,2022-03-21,180
2022-09-10,2781,9284,183,,2022-03-20,180
2022-09-10,6909,8368,180,5,2022-03-19,180
2022-09-10,9364,24397,3048,172,2022-03-18,180
2022-09-10,25022,39402,3419,163,2022-03-17,180
2022-09-10,23956,28328,3509,173,2022-03-16,180
2022-09-10,35980,19500,3595,172,2022-03-15,180
