Report Refresh Date,Viewed Or Edited,Synced,Shared Internally,Shared Externally,Report Date,Report Period
2022-09-10,1193,263,13,1,2022-05-08,180
2022-09-10,1111,114,3,,2022-05-07,180
2022-09-10,895,39,,,2022-05-06,180
2022-09-10,644,44,,,2022-05-05,180
2022-09-10,570,57,,,2022-05-04,180
2022-09-10,601,14,1,,2022-05-03,180
2022-09-10,505,16,,,2022-05-02,180
2022-09-10,738,26,5,,2022-05-01,180
2022-09-10,1204,124,1,,2022-04-30,180
2022-09-10,955,7127,1,,2022-04-29,180
2022-09-10,3885,1454,15,1,2022-04-28,180
2022-09-10,12565,1299,25,,2022-04-27,180
2022-09-10,4487,987,60,1,2022-04-26,180
2022-09-10,4606,4860,67,3,2022-04-25,180
2022-09-10,1361,341,3,,2022-04-24,180
2022-09-10,1493,3675,5,,2022-04-23,180
2022-09-10,3679,1179,43,2,2022-04-22,180
2022-09-10,6337,1342,43,1,2022-04-21,180
2022-09-10,5392,2088,47,2,2022-04-20,180
2022-09-10,6205,10129,193,,2022-04-19,180
2022-09-10,5727,1587,42,,2022-04-18,180
2022-09-10,1717,263,70,,2022-04-17,180
2022-09-10,1636,124,4,,2022-04-16,180
2022-09-10,2410,122,66,,2022-04-15,180
2022-09-10,4796,1347,70,,2022-04-14,180
2022-09-10,12991,1748,50,,2022-04-13,180
2022-09-10,4147,1024,30,3,2022-04-12,180
2022-09-10,3869,2281,45,2,2022-04-11,180
2022-09-10,2036,283,6,,2022-04-10,180
2022-09-10,860,184,6,,2022-04-09,180
2022-09-10,5322,2046,130,,2022-04-08,180
2022-09-10,6809,1335,32,2,2022-04-07,180
2022-09-10,19069,1182,43,2,2022-04-06,180
2022-09-10,4372,2028,69,3,2022-04-05,180
2022-09-10,7122,1942,45,3,2022-04-04,180
2022-09-10,928,358,82,2,2022-04-03,180
2022-09-10,700,312,3,,2022-04-02,180
2022-09-10,3736,1633,40,3,2022-04-01,180
2022-09-10,3967,1575,56,5,2022-03-31,180
2022-09-10,11326,1430,45,4,2022-03-30,180
2022-09-10,3824,1658,38,,2022-03-29,180
2022-09-10,4339,1181,53,1,2022-03-28,180
2022-09-10,670,222,2,,2022-03-27,180
2022-09-10,661,360,10,,2022-03-26,180
2022-09-10,5708,1835,169,2,2022-03-25,180
2022-09-10,5256,1221,97,1,2022-03-24,180
2022-09-10,6939,2169,29,2,2022-03-23,180
2022-09-10,10736,1312,40,3,2022-03-22,180
2022-09-10,21642,2696,37,1,2022-03-21,180
2022-09-10,620,374,2,,2022-03-20,180
2022-09-10,496,135,1,,2022-03-19,180
2022-09-10,19877,1225,35,,2022-03-18,180
2022-09-10,6232,1329,33,1,2022-03-17,180
2022-09-10,3326,16135,45,,2022-03-16,180
2022-09-10,3365,1275,31,1,2022-03-15,180
