Report Refresh Date,Site Type,Storage Used (Byte),Report Date,Report Period
2022-09-10,All,18065291710875,2022-05-02,180
2022-09-10,All,18034833192760,2022-05-01,180
2022-09-10,All,18034833192760,2022-04-30,180
2022-09-10,All,18039626906813,2022-04-29,180
2022-09-10,All,18029300889490,2022-04-28,180
2022-09-10,All,17982377055809,2022-04-27,180
2022-09-10,All,17806889533498,2022-04-26,180
2022-09-10,All,17806889533498,2022-04-25,180
2022-09-10,All,17806889533498,2022-04-24,180
2022-09-10,All,17806889533498,2022-04-23,180
2022-09-10,All,17767029386975,2022-04-22,180
2022-09-10,All,17767029386975,2022-04-21,180
2022-09-10,All,17869756431205,2022-04-20,180
2022-09-10,All,17840838058965,2022-04-19,180
2022-09-10,All,17773425093704,2022-04-18,180
2022-09-10,All,17706403771827,2022-04-17,180
2022-09-10,All,17706403771827,2022-04-16,180
2022-09-10,All,17739173665586,2022-04-15,180
2022-09-10,All,17405755318453,2022-04-14,180
2022-09-10,All,17405605997017,2022-04-13,180
2022-09-10,All,17328072141734,2022-04-12,180
2022-09-10,All,17244695625830,2022-04-11,180
2022-09-10,All,17154890152805,2022-04-10,180
2022-09-10,All,17154890152805,2022-04-09,180
2022-09-10,All,17154956322250,2022-04-08,180
2022-09-10,All,17028778318847,2022-04-07,180
2022-09-10,All,17028778318847,2022-04-06,180
2022-09-10,All,16976792333530,2022-04-05,180
2022-09-10,All,16902712854775,2022-04-04,180
2022-09-10,All,16828963619952,2022-04-03,180
2022-09-10,All,16828963619952,2022-04-02,180
2022-09-10,All,16751408309316,2022-04-01,180
2022-09-10,All,16751408309316,2022-03-31,180
2022-09-10,All,16511573550685,2022-03-30,180
2022-09-10,All,16511573550685,2022-03-29,180
2022-09-10,All,16511573550685,2022-03-28,180
2022-09-10,All,16464850619699,2022-03-27,180
2022-09-10,All,16505643930327,2022-03-26,180
2022-09-10,All,16490296643590,2022-03-25,180
2022-09-10,All,16397875479393,2022-03-24,180
2022-09-10,All,16397875479393,2022-03-23,180
2022-09-10,All,16340054345733,2022-03-22,180
2022-09-10,All,16261124673348,2022-03-21,180
2022-09-10,All,16146660957963,2022-03-20,180
2022-09-10,All,16131266676880,2022-03-19,180
2022-09-10,All,16120138028992,2022-03-18,180
2022-09-10,All,16038069128144,2022-03-17,180
2022-09-10,All,16013945549343,2022-03-16,180
2022-09-10,All,15949344397495,2022-03-15,180
