Report Refresh Date,Site Type,Total,Active,Report Date,Report Period
2022-09-10,All,1550104,3252,2022-05-22,180
2022-09-10,All,1550150,1471,2022-05-21,180
2022-09-10,All,1549783,14328,2022-05-20,180
2022-09-10,All,1538494,9805,2022-05-19,180
2022-09-10,All,1553266,26412,2022-05-18,180
2022-09-10,All,1529553,23353,2022-05-17,180
2022-09-10,All,1507986,2161,2022-05-16,180
2022-09-10,All,1507548,1525,2022-05-15,180
2022-09-10,All,1507135,984,2022-05-14,180
2022-09-10,All,1489236,4654,2022-05-13,180
2022-09-10,All,1489236,10614,2022-05-12,180
2022-09-10,All,1482911,4479,2022-05-11,180
2022-09-10,All,1477109,8890,2022-05-10,180
2022-09-10,All,1474674,5425,2022-05-09,180
2022-09-10,All,1473110,1477,2022-05-08,180
2022-09-10,All,1472903,1229,2022-05-07,180
2022-09-10,All,1472804,967,2022-05-06,180
2022-09-10,All,1472762,726,2022-05-05,180
2022-09-10,All,1472742,635,2022-05-04,180
2022-09-10,All,1472742,628,2022-05-03,180
2022-09-10,All,1472723,526,2022-05-02,180
2022-09-10,All,1472400,771,2022-05-01,180
2022-09-10,All,1472400,1322,2022-04-30,180
2022-09-10,All,1472286,8093,2022-04-29,180
2022-09-10,All,1472010,5229,2022-04-28,180
2022-09-10,All,1469787,13725,2022-04-27,180
2022-09-10,All,1451356,5437,2022-04-26,180
2022-09-10,All,1451356,8809,2022-04-25,180
2022-09-10,All,1451356,1710,2022-04-24,180
2022-09-10,All,1451356,5358,2022-04-23,180
2022-09-10,All,1448513,4967,2022-04-22,180
2022-09-10,All,1448513,7617,2022-04-21,180
2022-09-10,All,1445955,7291,2022-04-20,180
2022-09-10,All,1442575,16642,2022-04-19,180
2022-09-10,All,1430659,7359,2022-04-18,180
2022-09-10,All,1426303,2117,2022-04-17,180
2022-09-10,All,1426303,2291,2022-04-16,180
2022-09-10,All,1425471,2892,2022-04-15,180
2022-09-10,All,1417300,6050,2022-04-14,180
2022-09-10,All,1417285,14690,2022-04-13,180
2022-09-10,All,1406165,5231,2022-04-12,180
2022-09-10,All,1403531,5854,2022-04-11,180
2022-09-10,All,1398986,2399,2022-04-10,180
2022-09-10,All,1398986,1817,2022-04-09,180
2022-09-10,All,1399005,7308,2022-04-08,180
2022-09-10,All,1402475,8297,2022-04-07,180
2022-09-10,All,1402475,20148,2022-04-06,180
2022-09-10,All,1385390,6239,2022-04-05,180
2022-09-10,All,1382059,8938,2022-04-04,180
2022-09-10,All,1376141,1335,2022-04-03,180
2022-09-10,All,1376141,1488,2022-04-02,180
2022-09-10,All,1372827,5469,2022-04-01,180
2022-09-10,All,1372827,5787,2022-03-31,180
2022-09-10,All,1342522,13005,2022-03-30,180
2022-09-10,All,1342522,5511,2022-03-29,180
2022-09-10,All,1342522,5760,2022-03-28,180
2022-09-10,All,1339606,844,2022-03-27,180
2022-09-10,All,1339407,1335,2022-03-26,180
2022-09-10,All,1338690,7694,2022-03-25,180
2022-09-10,All,1331254,6357,2022-03-24,180
2022-09-10,All,1331254,9170,2022-03-23,180
2022-09-10,All,1325899,11956,2022-03-22,180
2022-09-10,All,1316850,24082,2022-03-21,180
2022-09-10,All,1296475,989,2022-03-20,180
2022-09-10,All,1296246,1201,2022-03-19,180
2022-09-10,All,1295738,21314,2022-03-18,180
2022-09-10,All,1276752,7547,2022-03-17,180
2022-09-10,All,1271884,22586,2022-03-16,180
2022-09-10,All,1265980,4665,2022-03-15,180
