department,block credential,inactive days teams,inactive days onedrive,inactive days sharepoint,active last week onedrive/sharepoint,active last week or,active last week all,active last week teams,active last week onedrive,active last week sharepoint
BINS.INSTITUT BI,0.0,3.474747474747475,38.5959595959596,12.818181818181818,0.8181818181818182,0.9696969696969697,0.46464646464646464,0.9292929292929293,0.5555555555555556,0.7474747474747475
DAI.DEPARTEMEN AUDIT INTERN,0.0,0.3924050632911392,5.1265822784810124,13.20253164556962,0.8481012658227848,0.9873417721518988,0.6075949367088608,0.9873417721518988,0.8227848101265823,0.6329113924050633
DEKS.DEPARTEMEN EKONOMI & KEUANGAN SYARIAH,0.0,0.42857142857142855,8.10204081632653,14.918367346938776,0.8163265306122449,1.0,0.5102040816326531,1.0,0.7755102040816326,0.5510204081632653
DHK.DEPARTEMEN HUKUM,0.0,1.4035087719298245,6.7368421052631575,14.087719298245615,0.9122807017543859,0.9824561403508771,0.6491228070175439,0.9824561403508771,0.8421052631578947,0.7192982456140351
DINT.DEPARTEMEN INTERNASIONAL,0.0,0.2608695652173913,11.521739130434783,6.971014492753623,0.8840579710144928,1.0,0.6811594202898551,1.0,0.8115942028985508,0.7536231884057971
DKEM.DEPARTEMEN KEBIJAKAN EKONOMI & MONETER,0.0,0.03409090909090909,3.7045454545454546,13.556818181818182,0.9431818181818182,1.0,0.6931818181818182,1.0,0.9431818181818182,0.6931818181818182
DKEU.DEPARTEMEN KEUANGAN,0.009615384615384616,0.1346153846153846,4.115384615384615,16.057692307692307,0.9134615384615384,1.0,0.6346153846153846,1.0,0.8942307692307693,0.6538461538461539
DKMP.DEPARTEMEN KEBIJAKAN MAKROPRUDENSIAL,0.0,0.6022727272727273,6.1477272727272725,8.238636363636363,0.8863636363636364,0.9772727272727273,0.7386363636363636,0.9772727272727273,0.8181818181818182,0.8068181818181818
DKOM.DEPARTEMEN KOMUNIKASI,0.0,1.8095238095238095,37.39506172839506,45.54761904761905,0.5952380952380952,0.9523809523809523,0.2857142857142857,0.9523809523809523,0.5476190476190477,0.3333333333333333
DKSP.DEPARTEMEN KEBIJAKAN SISTEM PEMBAYARAN,0.0,0.49504950495049505,6.376237623762377,15.089108910891088,0.8910891089108911,0.9801980198019802,0.5445544554455446,0.9801980198019802,0.8217821782178217,0.6138613861386139
DMR.DEPARTEMEN MANAJEMEN RISIKO,0.019230769230769232,0.057692307692307696,3.25,6.576923076923077,0.9230769230769231,1.0,0.8269230769230769,1.0,0.9038461538461539,0.8461538461538461
DMST.DEPARTEMEN MANAJEMEN STRATEGIS & TATA KELOLA,0.0,6.582089552238806,33.67669172932331,38.525925925925925,0.6592592592592592,0.8666666666666667,0.4148148148148148,0.8592592592592593,0.6222222222222222,0.45185185185185184
DPD.DEPARTEMEN PENGELOLAAN DEVISA,0.0,0.125,2.2625,6.1125,0.975,0.9875,0.725,0.9875,0.9375,0.7625
DPKL.DEPARTEMEN PENGELOLAAN & KEPATUHAN LAPORAN,0.013793103448275862,1.4482758620689655,5.944827586206896,16.517241379310345,0.9379310344827586,0.9724137931034482,0.6551724137931034,0.9724137931034482,0.9310344827586207,0.6620689655172414
DPLF.DEPARTEMEN PENGELOLAAN LOGISTIK & FASILITAS,0.0,3.973684210526316,28.575163398692812,33.54545454545455,0.6948051948051948,0.922077922077922,0.3961038961038961,0.922077922077922,0.6493506493506493,0.44155844155844154
DPM.DEPARTEMEN PENGELOLAAN MONETER,0.0,0.6133333333333333,10.533333333333333,10.173333333333334,0.8933333333333333,0.9733333333333334,0.72,0.9733333333333334,0.84,0.7733333333333333
DPPK.DEPARTEMEN PENGEMBANGAN PASAR KEUANGAN,0.0,0.11764705882352941,1.2745098039215685,17.372549019607842,1.0,1.0,0.5490196078431373,1.0,0.9803921568627451,0.5686274509803921
DPPT.DEPARTEMEN JASA PERBANKAN PERIZINAN&OPERASIONAL TRESURI,0.0,0.7655172413793103,9.441379310344828,24.47586206896552,0.8344827586206897,0.9862068965517241,0.38620689655172413,0.9793103448275862,0.7655172413793103,0.45517241379310347
DPS.DEPARTEMEN PENGADAAN STRATEGIS,0.0,0.4943820224719101,14.0,15.955056179775282,0.8764044943820225,0.9887640449438202,0.6067415730337079,0.9775280898876404,0.8651685393258427,0.6292134831460674
DPSI.DEPARTEMEN PENGELOLAAN SISTEM INFORMASI,0.012244897959183673,1.4653061224489796,2.5714285714285716,7.359183673469388,0.9591836734693877,0.9836734693877551,0.7795918367346939,0.9795918367346939,0.9469387755102041,0.7918367346938775
DPSP.DEPARTEMEN PENYELENGGARAAN SISTEM PEMBAYARAN,0.0,0.16535433070866143,8.37007874015748,17.346456692913385,0.8346456692913385,1.0,0.4094488188976378,0.9921259842519685,0.7952755905511811,0.44881889763779526
DPU.DEPARTEMEN PENGELOLAAN UANG,0.0,6.317073170731708,40.345991561181435,34.48790322580645,0.6008064516129032,0.8548387096774194,0.3588709677419355,0.8548387096774194,0.5604838709677419,0.39919354838709675
DR.DEPARTEMEN REGIONAL,0.0,0.0,8.475,10.525,0.8,1.0,0.7,1.0,0.775,0.725
DSDM.DEPARTEMEN SUMBER DAYA MANUSIA,0.0,17.29268292682927,78.45018450184502,71.50729927007299,0.5381818181818182,0.6836363636363636,0.3054545454545455,0.6727272727272727,0.4727272727272727,0.3709090909090909
DSSK.DEPARTEMEN SURVEILANS SISTEM KEUANGAN,0.0,0.8058252427184466,7.611650485436893,14.54368932038835,0.883495145631068,0.9805825242718447,0.5922330097087378,0.9805825242718447,0.8543689320388349,0.6213592233009708
